,MSE,RMSE,R2
XGBoost Regressor,62.23948669433594,7.889200637221489,0.3354136347770691
LightGBM Regressor,55.5557325860139,7.453571800554007,0.4067820053012604
Neural Network (MLP) Regressor,81.53178453858709,9.029495253810541,0.12941258306138403
