,Accuracy,Precision,recall,F1
XGBoost,0.9954571266325951,0.9925233644859813,0.9925233644859813,0.9925233644859813
LightGBM,0.9960249858035207,0.9925373134328358,0.994392523364486,0.9934640522875817
Neural Network (MLP),0.9642248722316865,0.9338235294117647,0.9495327102803738,0.9416126042632067
